,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
150,BMW,3 Serisi,318i Standart,1999.0,Benzin/LPG,Otomatik Vites,1801,126,Mavi ,Sedan,Galeriden,2. El,210000,70900
151,BMW,3 Serisi,318is,1997.0,Benzin,Düz Vites,1601,126,Siyah ,Sedan,Galeriden,2. El,210000,70900
152,BMW,1 Serisi,116d One Edition,2016.0,Dizel,Otomatik Vites,1301,101,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,35000,217500
153,BMW,1 Serisi,120d,2008.0,Dizel,Otomatik Vites,1801,176,Siyah ,Spor / Coupe,Galeriden,2. El,178500,155000
154,BMW,X5,44,2002.0,Benzin/LPG,Otomatik Vites,4001,276,Gri ,Arazi Aracı,Galeriden,2. El,215368,105000
155,BMW,5 Serisi,5.20d Comfort,2012.0,Dizel,Yarı Otomatik Vites,1801,176,Gümüş Gri ,Sedan,Sahibinden,2. El,104500,279500
156,BMW,X3,"2.0i sDrive
",2015.0,Benzin,Otomatik Vites,1301,151,Beyaz ,Sedan,Yetkili,0 km,118593,319900
157,BMW,3 Serisi,3.16i,2005.0,Benzin/LPG,Düz Vites,1301,101,Siyah ,Sedan,Sahibinden,2. El,245000,62500
158,BMW,3 Serisi,3.20d Sport,2012.0,Dizel,Yarı Otomatik Vites,2501,201,Beyaz ,Sedan,Galeriden,2. El,210000,130000
159,BMW,3 Serisi,3.20d Xdrive,2012.0,Dizel,Otomatik Vites,2501,251,Beyaz ,Sedan,Galeriden,2. El,192000,180000
160,BMW,3 Serisi,3.20d Premium,2011.0,Dizel,Otomatik Vites,1601,101,Beyaz ,Sedan,Galeriden,2. El,190000,110000
161,BMW,3 Serisi,320i First Edition M Sport ,2020.0,Benzin,Otomatik Vites,1301,151,Siyah ,Sedan,Galeriden,2. El,3350,585000
162,BMW,3 Serisi,3.16,2019.0,Benzin/LPG,Otomatik Vites,1801,101,Siyah ,Sedan,Galeriden,2. El,250000,57500
163,BMW,7 Serisi,7.35iL,2004.0,Benzin,Yarı Otomatik Vites,3501,251,Siyah ,Sedan,Sahibinden,2. El,256000,200000
164,BMW,5 Serisi,5.25d xDrive Premium,2012.0,Dizel,Otomatik Vites,2001,201,Beyaz ,Sedan,Galeriden,2. El,210000,270000
165,BMW,5 Serisi,5.25d xDrive Comfort,2012.0,Dizel,Otomatik Vites,2001,151,Siyah ,Sedan,Galeriden,2. El,158000,249500
166,BMW,5 Serisi,5.25d xDrive Comfort,2012.0,Dizel,Otomatik Vites,3001,251,Beyaz ,Sedan,Galeriden,2. El,200000,220000
167,BMW,X5,25d xDrive Premium,2014.0,Dizel,Yarı Otomatik Vites,1801,201,Gümüş Gri ,Arazi Aracı,Galeriden,2. El,82463,543000
168,BMW,3 Serisi,3.20i ED Sport Line,2016.0,Benzin,Otomatik Vites,1301,151,Beyaz ,Sedan,Galeriden,2. El,80000,259500
169,BMW,5 Serisi,5.20d Premium,2011.0,Dizel,Yarı Otomatik Vites,1801,176,Füme ,Sedan,Galeriden,2. El,192000,203000
170,BMW,5 Serisi,520i,2016.0,Benzin,Otomatik Vites,1301,151,Beyaz ,Sedan,Sahibinden,2. El,132100,333000
171,BMW,3 Serisi,3.16i Comfort,2012.0,Benzin,Otomatik Vites,1301,126,Beyaz ,Sedan,Galeriden,2. El,104500,150000
172,BMW,3 Serisi,3.16i,2006.0,Benzin/LPG,Düz Vites,1301,101,Füme ,Sedan,Sahibinden,2. El,235000,101000
173,BMW,3 Serisi,3.20i,2006.0,Benzin/LPG,Otomatik Vites,1801,126,Füme ,Sedan,Galeriden,2. El,237000,102000
174,BMW,5 Serisi,5.25d xDrive Premium,2015.0,Dizel,Yarı Otomatik Vites,1801,201,Beyaz ,Sedan,Galeriden,2. El,133000,385000
175,BMW,3 Serisi,3.20i ED Sport Line,2015.0,Benzin,Yarı Otomatik Vites,1301,151,Beyaz ,Sedan,Sahibinden,2. El,138000,240000
176,BMW,X3,2.0d xDrive Premium,2012.0,Dizel,Otomatik Vites,1801,176,Mavi ,Arazi Aracı,Galeriden,2. El,107500,289900
